影片名,上映年代,票房（万元）,,
精武青春,2014,95.87,,
魔比斯环,2015,91.67,,
201413.爱你一世一生,2014,89.82,,
不离不弃,2016,86.84,,
击战,2016,85.81,,
猿创世界之熊孩子部落,2016,85.72,,
我是大熊猫2,2015,85.05,,
潜龙风云,2014,84.86,,
越囧,2016,81.01,,
斗地主,2015,80.49,,
默守那份情,2015,79.89,,
全力扣杀,2015,77.46,,
我是你的野蛮女友,2014,77.13,,
警魂之命悬一线,2016,76.8,,
沙漠之心,2016,76.63,,
命运派对,2014,76.24,,
索命暹罗之按摩师,2015,74.29,,
党的女儿尹灵芝,2016,74.21,,
恐怖爱情故事之死亡公路,2016,74.1,,
失心者,2016,73.16,,
求爱大作战,2014,71.8,,
一路逆风,2016,71.52,,
等爱归来,2015,71.31,,
一条叫王子的狗,2016,70.72,,
新年来啦之大闹除夕,2015,69.36,,
临时约定,2016,68.64,,
约定倒计时,2015,67.52,,
爱情攻略,2015,65.89,,
狱中惊魂,2016,65.58,,
我的诗篇,2015,64.79,,
减法人生,2016,63.46,,
丝路英雄·云镝,2016,61.64,,
绝战,2016,61.44,,
爱神箭,2016,61.39,,
打工老板,2014,61.32,,
爱情狂想曲,2014,59.16,,
十二生肖城市英雄,2014,58.5,,
我的青春密友,2014,56.64,,
新木偶奇遇记,2016,56.49,,
毕业那年——分手季,2014,56.12,,
0.5的爱情,2014,55.98,,
海神密码,2014,55.91,,
情满人间,2015,55.06,,
小魔仙之黑魔法来袭,2016,53.24,,
摇滚水果,2015,52.75,,
不许动！,2016,52.75,,
我是奋青,2015,51.98,,
辛巴达与美人鱼公主,2016,50.05,,
异性合租的往事,2016,49.3,,
大峰祖师,2014,48.61,,
爱的“蟹”逅,2016,48.54,,
与贼同屋,2014,48.33,,
永春白鹤拳之擎天画卷,2014,47.47,,
第一眼爱情,2014,46.97,,
零点杀机,2015,46.53,,
非你勿扰,2015,46.09,,
紫霞,2015,45.52,,
电商时代,2015,45.29,,
狼兵吼,2016,45.1,,
梦幻佳期,2015,45.05,,
回乡逗儿,2016,44.23,,
别开门,2016,41.52,,
37次想你,2014,41.51,,
大会师,2016,40.47,,
逆转胜,2015,40.42,,
启功,2015,40.02,,
穷途,2015,37.86,,
牡丹仙子之黄帝诏曰,2016,37.37,,
再生之乐,2016,37.29,,
这个大叔不太囧,2014,37.28,,
呼吸正常,2016,36.08,,
飞鱼秀,2014,33.18,,
史来贺,2014,32.5,,
飞跃地心,2014,32.35,,
大变局之梦回甲午,2015,31.82,,
男神抱抱,2016,31.41,,
幸福中转栈,2014,31.32,,
湖杀令,2015,31.15,,
吉祥宝宝之我是食神,2016,30.17,,
囧贼,2015,29.68,,
黎明之眼,2014,29.57,,
卧龙岗,2014,29.13,,
守梦者,2015,28.82,,
相伴库里申科,2015,28.18,,
情笛之爱,2014,28.11,,
激战黎明,2015,27.95,,
那 美,2016,27.14,,
购物女王,2016,27.05,,
家有虎妻,2015,26.75,,
新东方神娃,2016,26.16,,
古路,2014,25.78,,
练胆儿,2016,25.56,,
剑河,2014,24.85,,
孕城,2014,24.26,,
报国之路,2014,24.26,,
章鱼哥,2014,23.98,,
夜魔人,2016,23.77,,
幸福很囧,2015,23.58,,
生死96小时,2016,23.54,,
爱你不等来生,2014,22.51,,
遭遇海明威,2015,22.48,,
女神时代,2016,22.19,,
桑榆街9号,2015,20.71,,
男人制造,2015,20.33,,
人鱼校花,2016,20.21,,
我的1000万,2016,19.47,,
渴望的青春,2014,19.31,,
守信少年,2015,19.17,,
爱情魔发师,2015,19.15,,
我的女神女汉子,2016,18.91,,
皇帝的新装之圣诞大明星,2015,18.47,,
换爱七日,2014,18.46,,
深情约定,2014,18.27,,
东宫皇子,2016,18.15,,
传奇状元伦文叙,2015,17.86,,
提款机,2016,17.09,,
飞天窑女,2016,16.87,,
胜利大阅兵,2015,16.18,,
先锋之那时青春,2016,16.1,,
痞子·洛克,2015,16.01,,
正果,2015,15.65,,
探秘者,2015,15.09,,
三个孬家伙,2016,14.97,,
脱单宝典,2016,14.7,,
无法证明,2015,14.45,,
我的朋友圈,2016,14.32,,
锅是铁,2016,14.03,,
不能错过,2015,13.98,,
寻找女神@娇阿姨,2016,13.98,,
小熊的夏天,2016,13.83,,
