name	regLocation	regCapital	industry	businessScope
北京海润影业股份有限公司	北京市怀柔区杨宋镇凤翔东大街9号9343室	8000 万元 人民币	广播、电视、电影和影视录音制作业	发行国产影片；制作、发行动画片、电视综艺、专题片；影视策划；组织文化艺术交流活动（不含演出）；会议及展览服务；设计、制作、代理、发布广告；电脑图文设计、制作；企业策划、设计；市场调查；技术推广服务；计算机系统服务；公共软件服务；经济贸易咨询；投资咨询；租赁影视器材、服装、道具；销售日用品、工艺品、文具用品、机械设备、五金交电、电子产品。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
北京光线传媒股份有限公司	北京市东城区和平里东街11号37号楼11105号	146680.4217 万元 人民币	广播、电视、电影和影视录音制作业	广播电视节目的制作、发行；经营演出及经纪业务；设计、制作、代理、发布国内及外商来华广告；信息咨询（除中介除外）；承办展览展示；组织文化艺术交流活动；技术开发、技术服务。 广播电视节目的制作、发行；经营演出及经纪业务。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
广东大地影院建设有限公司北京技术分公司	北京市北京经济技术开发区地盛西路1号1幢B区4层B3—403室	None	广播、电视、电影和影视录音制作业	技术开发、技术转让、技术咨询、技术服务；信息咨询、影视咨询、文化咨询、投资咨询、商务咨询、企业营销策划及管理咨询。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
北京拉近影业有限公司	北京市北京经济技术开发区经海六路5号院11号楼403室	300 万元 人民币	广播、电视、电影和影视录音制作业	制作，发行动画片、专题片、电视综艺，不得制作时政新闻及同类专题、专栏等广播电视节目（广播电视节目及电视剧制作许可证有效期至2017年06月23日）；组织文化艺术交流活动（不含演出）；企业形象策划、设计；企业管理咨询、商务咨询、投资咨询；音响、灯光、舞台设备租赁（专项许可业务除外）；设计、制作、代理、发布广告；销售服装、鞋帽、装饰品、化妆品、日用品；货物进出口、技术进出口、代理进出口。（广播电视节目制作以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
北京中影新农村影视文化传媒有限公司	北京市怀柔区杨宋镇凤翔东大街9号A座061室	50 万元 人民币	广播、电视、电影和影视录音制作业	组织影视文化艺术交流活动（不含演出）；设计、制作、代理、发布广告；承办展览展示；电脑图文设计、制作；企业形象策划；动漫设计；影视信息咨询（不含中介服务）；声乐、舞蹈培训；租赁影视器材；销售工艺品。
中影星美电影院线有限公司	北京市海淀区新外大街25号	5000 万元	广播、电视、电影和影视录音制作业	电影发行放映；对电影院线、数字影院的投资及管理；后电影产品的开发；设计、制作、代理、发布广告；企业策划、设计；会议服务；承办展览展示活动；技术开发、技术转让、技术咨询、技术服务、技术推广；软件开发；软件咨询；计算机系统服务；数据处理（数据处理中的银行卡中心、PUE值在1.5以上的云计算数据中心除外）；基础软件服务；应用软件服务；企业管理；投资管理；资产管理；市场调查；投资咨询；企业管理咨询；机械设备租赁（不含汽车租赁）；组织文化艺术交流活动（不含营业性演出）。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
大德传媒股份有限公司	北京市朝阳区建国路89号华贸商务楼16号楼925室	5000 万元	广播、电视、电影和影视录音制作业	影视策划；设计、制作、代理、发布广告；经济信息咨询；组织文化艺术交流（不含演出）；企业形象策划；会议服务；承办展览展示活动。
中少先锋校园电影院线（北京）有限公司	北京市海淀区三里河路15号中建大厦B座5层D501	500 万元 人民币	广播、电视、电影和影视录音制作业	企业策划；经济贸易咨询；组织文化艺术交流活动（不含演出）；会议服务；承办展览展示活动；机械设备租赁；市场调查；资产管理；设计、制作、代理、发布广告；电脑动画设计；技术推广；票务代理。（未取得行政许可的项目除外）
北京市电影股份有限公司	北京市东城区北池子大街67号	22000 万元 人民币	广播、电视、电影和影视录音制作业	电影发行、放映；投资及投资管理；销售电影器材、玩具、服装、工艺美术品、文具用品、体育用品、游艺用品、室内游艺器材；技术开发、技术咨询、技术服务、技术培训；设计、制作、代理、发布广告；组织文化艺术交流活动；经济信息咨询（心理咨询除外）；出租办公用房；出租商业用房。（“1、未经有关部门批准，不得以公开方式募集资金；2、不得公开开展证券类产品和金融衍生品交易活动；3、不得发放贷款；4、不得对所投资企业以外的其他企业提供担保；5、不得向投资者承诺投资本金不受损失或者承诺最低收益”；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
中影第一空间数字电影有限公司	北京市海淀区新街口外大街25号	2981.25 万元 美元	广播、电视、电影和影视录音制作业	全国范围内数字影院的开发与建设；数字影院数据传输技术研发和应用，数字影院经营项目的拓展。
中国电影集团公司电影营销策划分公司	北京市海淀区新外大街25号14号楼312、208、204	None	广播、电视、电影和影视录音制作业	电影营销策划。
大地影院发展有限公司北京顺义分公司	北京市顺义区仁和镇新顺南大街11号601室	None	广播、电视、电影和影视录音制作业	电影放映；销售食品；餐饮服务（小吃店：不含凉菜、不含裱花蛋糕、不含生食水产品）（餐饮服务许可证有效期至2018年01月29日）；现场制售饮品；从事广告业务；销售日用品；会议策划。(依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。)
万达电影院线股份有限公司	北京市朝阳区建国路93号万达广场B座11层	56000 万元 人民币	广播、电视、电影和影视录音制作业	影片发行和放映；电影院投资；出租商业设施；广告发布；票务代理；图文设计、制作。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
北京华录百纳影视股份有限公司	北京市石景山区八大处高科技园区西井路3号3号楼5365房间	70853.8681 万元 人民币	广播、电视、电影和影视录音制作业	电视剧制作；影视项目投资管理、策划；体育赛事项目投资、策划；版权代理；组织体育文化艺术交流；承办展览展示；信息咨询（不含中介服务）；艺术培训；广告设计制作；舞台设计制作；美术设计制作；资料编辑；翻译服务；摄影；企业形象策划；租赁、维修影视服装、器械设备；劳务服务。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
北京橙天嘉禾祥云影城管理有限公司	北京市顺义区临空经济核心区安泰大街9号院7号楼二层	100 万元	广播、电视、电影和影视录音制作业	物业管理；电影放映（电影放映经营许可证有效期至2016年12月31日）；餐饮服务（饮品店：制售冷热饮）（餐饮服务许可证有效期至2017年11月05日）；企业管理；代理、发布广告；会议服务；销售工艺品（不含文物）、日用品、化妆品、文具用品、办公用品、服装。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动）。（领取本执照后，应到区县住建委（房管局）取得行政许可。）
烟台万达电影城有限公司	烟台市芝罘区西关南街6号娱乐楼三楼	500万元人民币	广播、电视、电影和影视录音制作业	电影放映；批发兼零售预包装食品（有效期以许可证为准）；工艺美术品、文化用品的销售；自有场地租赁；设计、制作、代理、发布国内广告业务；影视基地经营。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
北京若水彤云影视文化传媒有限公司	北京市东城区和平里东街11号2号楼南3层301室	1077.12 万元 人民币	广播、电视、电影和影视录音制作业	制作、发行动画片、电视综艺，专题片；不得制作时政新闻及同类专题、专栏等广播电视节目；组织文化艺术交流活动（不含演出）；电脑动画设计；设计、制作、代理、发布广告；会议服务；企业策划；经济贸易咨询。
时代今典影院投资有限公司	北京市海淀区文慧园北路9号今典花园9号楼一层	10000 万元	广播、电视、电影和影视录音制作业	批发（非实物方式）预包装食品。 项目投资；投资管理；企业管理；设备租赁；设计、制作、代理、发布广告；销售电器设备及配件、玩具、服装、工艺品、文具、体育用品、电子产品。 
北京市通州永红放映厅第二放映厅	北京市通州区物资学院路18号	None	广播、电视、电影和影视录音制作业	录像放映，光盘出租
北京影联百丽宫影院有限公司	北京市东城区金宝街88号6-7层	900 万元 人民币	广播、电视、电影和影视录音制作业	电影放映；餐饮服务（限七层现场制售冷热饮）（餐饮服务许可证有效期至2020年10月19日）；零售电影纪念品。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
世界亚洲盛视电影传媒（北京）有限责任公司	北京市北京经济技术开发区荣华南路10号院5号楼0617室	8000 万元	广播、电视、电影和影视录音制作业	电影摄制；组织文化艺术交流活动（不含演出）；会议服务；承办展览展示活动；礼仪服务；经济贸易咨询；公关策划；电脑图文设计；文艺创作；租赁乐器；销售乐器。（电影摄制以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
一壹传媒（北京）有限公司	北京市东城区青龙胡同1号1122	5000 万元	广播、电视、电影和影视录音制作业	制作、发行动画片、专题片、电视综艺，不得制作时政新闻及同类专题专栏等广播电视节目（广播电视节目及电视剧制作许可证有效期至2015年11月20日）。  
北京电影学院青年电影制片厂	国家局	280 万元	广播、电视、电影和影视录音制作业	拍摄故事片、短片、动画片、译制片、电视剧。经营、代理国内和外商来华广告业务。
北京龙腾艺海影视道具租赁有限责任公司	北京市怀柔区杨宋镇凤翔东大街9号A座7666室	1000 万元 人民币	广播、电视、电影和影视录音制作业	租赁影视道具。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
北京汽车摩托车联合制造公司呼家楼影院	北京市朝阳区小庄新街大院	None	广播、电视、电影和影视录音制作业	文化娱乐服务；电影放映；文艺演出；摄影服务、礼仪服务；提供互联网络服务（不含电脑游艺）。
环球电广影视传媒集团有限公司	北京市朝阳区华严北里甲1号3幢1至4层A6	10000 万元	广播、电视、电影和影视录音制作业	制作，发行动画片、专题片、电视综艺，不得制作时政新闻及同类专题、专栏等广播电视节目（广播电视节目及电视剧制作许可证有效期至2017年06月08日）；项目投资；投资管理；企业管理；设计、制作、代理、发布广告；广告信息咨询；会议服务；承办展览展示活动；商务信息咨询。(依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。)
完美星空传媒有限公司	北京市顺义区高丽营镇文化营村北(临空二路1号)	10000 万元 人民币	广播、电视、电影和影视录音制作业	制作、发行动画片、专题片、电视综艺，不得制作时政新闻及同类专题、专栏等广播电视节目；电影摄制（广播电视节目及电视剧制作许可证有效期至2017年10月19日）。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
北京非常视觉影视文化有限责任公司	北京市朝阳区光华路15号院1号楼4层B092	500 万元 人民币	广播、电视、电影和影视录音制作业	组织文化艺术交流活动（不含演出）。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动）
北京美格影视传媒有限公司	北京市海淀区清河镇清缘东里7号楼207室	450 万元 人民币	广播、电视、电影和影视录音制作业	制作，发行动画片、专题片、电视综艺，不得制作时政新闻及同类专题、专栏等广播电视节目。（广播电视节目制作经营许可证有效期至2015年11月19日）；影视策划；组织文化艺术交流活动（不含营业性演出）；机械设备租赁（不含汽车租赁）。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
石家庄博纳影院投资管理有限公司	石家庄市桥西区裕华西路15号	100万人民币	广播、电视、电影和影视录音制作业	电影放映（有效期至2014年12月13日）；策划、承办文化艺术交流活动（营业性演出除外）；展览展示服务；设计、制作、代理国内广告业务；发布国内户外广告业务；房屋租赁。（法律、法规及国务院决定禁止或者限制的事项，不得经营；需其它部门审批的事项，待批准后，方可经营）
北京北广传媒集团有限公司	北京市朝阳区建国门外大街14号	16000 万元	广播、电视、电影和影视录音制作业	对传媒业、影视、广播、有线电视网络、房地产业进行投资及投资管理；广告设计、制作；承办展览展示活动；组织文化艺术交流活动（演出除外）；技术开发、技术转让、技术服务、技术咨询、技术培训；企业策划；信息咨询（中介除外）；销售机械电器设备、文化办公用品、租赁设备；广播电影电视节目制作。
北京不亦乐乎电影文化发展有限公司	北京市怀柔区桥梓镇兴桥大街1号南楼203室	600 万元	广播、电视、电影和影视录音制作业	组织文化艺术交流活动（不含演出）；影视策划；企业形象策划；企业管理咨询；经济贸易咨询；电脑图文设计、制作；广告设计、制作、代理、发布；工艺美术品设计；租赁影视器材；摄影服务；技术推广服务。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
北京博纳天时影院管理有限公司	北京市通州区杨庄北里天时名苑14号楼F4-01	100 万元	广播、电视、电影和影视录音制作业	电影放映（电影放映经营许可证有效期至2015年02月09日）；销售（限零售）预包装食品（食品流通许可证有效期至2015年02月14日）；企业管理；组织文化艺术交流活动（不含棋牌）；承办展览展示；投资管理；设计、制作、代理、发布广告；会议服务。
北京谊星影视传媒有限公司	北京市朝阳区东四环中路82号金长安大厦1座1001	500 万元 人民币	广播、电视、电影和影视录音制作业	制作，发行动画片、专题片、电视综艺，不得制作时政新闻及同类专题、专栏等广播电视节目（广播电视节目制作经营许可证有效期至2016年9月1日）。 设计、制作、代理、发布广告；电脑图文设计、制作；组织文化艺术交流活动（不含演出）。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 
北京光彩录像厅	北京市海淀区铁家坟112号	0 万元	广播、电视、电影和影视录音制作业	放映国家正式出版的录像制品。零售烟、饮料、包装食品。
恒大影视文化有限公司	北京市朝阳区工人体育场北路甲2号裙房304-1	5100 万元 人民币	广播、电视、电影和影视录音制作业	广播电视节目制作；组织文化交流活动（不含演出）；文艺创作；灯光音响设计。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
北京市大兴县魏善庄乡广播站录像厅	北京市大兴县黄村镇兴丰大街	None	广播、电视、电影和影视录音制作业	录像放映服务
深圳市中影南方电影新干线有限公司	深圳市罗湖区桂园路电影大厦A栋802	150万元人民币	广播、电视、电影和影视录音制作业	None
北京美逊影业有限公司	北京市朝阳区南沙滩66号院1号楼商业1-2-(2)B区a461室	300 万元 人民币	广播、电视、电影和影视录音制作业	制作，发行动画片、专题片、电视综艺、不得制作时政新闻及同类专题、专栏等广播电视节目（广播电视节目及电视剧制作许可证有效期至2016年05月07日）；组织文化艺术交流活动（不含演出）；会议及展览服务；文艺创作；企业策划；企业管理咨询；电脑动画设计。
海锐莱森（北京）电影科技有限公司	北京市大兴区西红门镇北兴路东段2号1幢306房间	50 万元	广播、电视、电影和影视录音制作业	技术开发、咨询、服务、推广、转让；租赁照相器材、服装、道具、灯光音响设备；设计、制作、代理、发布广告；承办展览展示；组织文化艺术交流活动（不含演出）；经济贸易咨询；摄影服务。
